Entry number,Fermi name,Counterpart name,Bzcat5 name,Optical Class,RA (J2000.0),Dec (J2000.0),Redshift,SED Class,Log νSync. Z corr. (Hz),Probability Bayesian,Reliability LR RG,Reliability LR XG,Significance,Flux 1-100 GeV (ph/cm2/s),Spectral Index,Spectral Type,Power Law Index,Radio flux (mJy),X Flux (erg cm-2 s-1),USNO Vmag,SDSS Vmag
897,3FGL J1241.9+0639,1ES 1239+069,5BZBJ1241+0636,bll,190.451017,6.5997557,0.15,HSP,15.061,0.98,0,0,5.19,0.00000000025088043,1.7817,PowerLaw,1.78,16.6188,1.76e- 12,18.6751,18.12
898,3FGL J1243.1+3627,Ton 116,5BZBJ1243+3627,bll,190.8030677,36.4622214,0,HSP,16.15,1,0.93,0.97,31.24,0.00000000196942,1.7688,PowerLaw,1.77,148.0424,1.62e- 11,16.2498,15.64
899,3FGL J1243.9- 0217,PMN J1243-0218,,bcu II,190.9686994,-2.310666989,0,LSP,12.83,1,0,0,5.15,0.00000000033344574,2.1859,PowerLaw,2.19,77.84,0,0,0
900,3FGL J1244.1+1615,SDSS J124444.35+161621.7,5BZBJ1244+1616,bll,191.183941,16.2730026,0.456,-,0,0.92,0,0,5.47,0.00000000030425112,2.4264,PowerLaw,2.43,14.3926,0,19.4726,18.26
901,3FGL J1244.1+1615,3C 275.1,,ssrq,190.9902051,16.38149801,0,-,0,0,0.93,0,5.47,0.00000000030425112,2.4264,PowerLaw,2.43,2896.6226,7.67e- 13,18.8462,18.08
902,3FGL J1244.3- 4955,SUMSS J124422- 495422,,bcu II,191.0957366,-49.90619303,0,ISP,14.726,0.99,0,0,4.82,0.00000000041072509,2.1882,PowerLaw,2.19,99.7,0,17.8628,0
903,3FGL J1244.8+5707,1RXS J124510.5+571020,5BZBJ1245+5709,bll,191.2916644,57.16510395,0,ISP,14.75,0.99,0,0,7.09,0.00000000033546799,2.0702,PowerLaw,2.07,83.8714,5.30e- 13,17.3321,16.51
904,3FGL J1246.7- 2547,PKS 1244-255,5BZQJ1246-2547,fsrq,191.6950085,-25.79702473,0.635,LSP,13.454,1,0.98,0.95,92.64,0.0000000097865458,2.1395,LogParabola,2.28,1165.6454,3.63e- 12,17.333,0
905,3FGL J1247.0+4421,RX J1246.9+4423,5BZBJ1247+4423,bll,191.753226,44.3888996,0.6,HSP,16.84,1,0,0.85,5.74,0.00000000025176006,2.0585,PowerLaw,2.06,10.7278,3.58e- 12,17.8452,0
906,3FGL J1248.0+5130,RX J1248.4+5128,5BZBJ1248+5128,bll,192.1429337,51.46885375,0.351,ISP,14.431,0.97,0,0,5.22,0.00000000025350502,2.1634,PowerLaw,2.16,114.9079,5.24e- 13,17.9052,17.04
907,3FGL J1248.2+5820,PG 1246+586,5BZBJ1248+5820,bll,192.0782696,58.34131017,0,ISP,14.885,1,0.95,0.96,55.53,0.0000000039694226,1.9474,PowerLaw,1.95,245.4239,6.45e- 12,15.7184,14.94
908,3FGL J1249.7+3705,RX J1249.8+3708,5BZBJ1249+3707,bll,192.444797,37.1299752,0,HSP,15,0.99,0,0,11.27,0.00000000048380094,1.6543,PowerLaw,1.65,6.1282,3.96e- 13,18.9301,18.55
909,3FGL J1250.5+0217,PKS 1247+025,5BZBJ1250+0216,bll,192.6357532,2.275603664,0.955,LSP,13.812,1,0.88,0,6.41,0.00000000040418988,2.3279,PowerLaw,2.33,340.8402,0,19.5971,19.03
910,3FGL J1251.0- 0203,TXS 1248-017,,bcu II,192.82678,-2.03548001,0,LSP,13.272,0.96,0,0,6.86,0.00000000045216098,2.3857,PowerLaw,2.39,128.0438,0,0,20.05
911,3FGL J1251.3+1041,1RXS J125117.4+103914,5BZBJ1251+1039,bll,192.8245176,10.65202895,0.2454,HSP,15.55,0.99,0,0,6.39,0.00000000036898012,2.4387,PowerLaw,2.44,5.2371,1.41e- 12,17.5685,17.6
912,3FGL J1253.2+5300,S4 1250+53,5BZBJ1253+5301,bll,193.299669,53.01992683,0,LSP,13.94,1,0.97,0.88,47.52,0.0000000041760293,1.8972,LogParabola,2,488.2964,4.75e- 13,16.7211,16.9
913,3FGL J1253.7+0327,MG1 J125348+0326,5BZGJ1253+0326,bll,193.445857,3.441785683,0.0657,HSP,15.422,1,0.87,0.89,12.13,0.00000000074913969,1.8418,PowerLaw,1.84,107.1076,2.95e- 12,12.3189,14.11
914,3FGL J1254.1+6240,1RXS J125400.1+624303,5BZBJ1253+6242,bll,193.4971255,62.71600087,0,HSP,15.176,0.99,0,0,7.07,0.00000000026135463,1.9022,PowerLaw,1.9,12.1354,5.66e- 13,19.3186,18.13
915,3FGL J1254.1- 2203,NVSS J125422- 220413,,bcu II,193.5936737,-22.07049667,0,ISP,14.34,1,0,0,7.19,0.00000000056181071,2.2957,PowerLaw,2.3,27.7072,0,18.9146,0
916,3FGL J1254.5+2210,TXS 1252+224,5BZBJ1254+2211,bll,193.6386408,22.18434717,0,HSP,15.2,1,0.87,0,10.83,0.00000000060064859,1.9957,PowerLaw,2,101.2599,0,18.0772,16.74
917,3FGL J1254.9- 4423,PKS 1252-441,5BZGJ1254-4424,bll,193.7396378,-44.41572285,0.041,LSP,13.816,1,0.9,0,4.45,0.00000000031340824,2.1948,PowerLaw,2.19,368.1,0,9.773,0
918,3FGL J1256.1- 0547,3C 279,5BZQJ1256-0547,fsrq,194.0465273,-5.789312469,0.536,LSP,13.106,1,0.99,0.99,160.6,0.00000002057495,2.2329,LogParabola,2.34,9711.8711,4.05e- 11,16.5449,0
919,3FGL J1256.3- 1146,PMN J1256-1146,5BZGJ1256-1146,bcu I,194.0664689,-11.77703892,0.05791,HSP,15.722,1,0.85,0.87,11.11,0.000000000666387,1.907,PowerLaw,1.91,54.5147,1.71e- 12,11.3963,0
920,3FGL J1256.7+5328,TXS 1254+538,,bcu II,194.1609554,53.57325244,0,LSP,13.25,0.93,0,0,5.77,0.00000000034677544,2.6386,PowerLaw,2.64,186.5014,0,0,19.51
921,3FGL J1256.9+3649,1RXS J125716.0+364713,5BZBJ1257+3647,bll,194.319097,36.78747676,0.531,HSP,15.17,0.92,0,0,12.51,0.00000000066889905,2.079,PowerLaw,2.08,72.6652,7.07e- 13,17.645,17.26
922,3FGL J1258.0+6120,NVSS J125820+612049,5BZBJ1258+6120,bll,194.586589,61.3470581,0.224,ISP,14.548,1,0,0,5.14,0.00000000020149174,2.0963,PowerLaw,2.1,10.3146,0,18.4149,22.02
923,3FGL J1258.1+3233,ON 393,5BZQJ1257+3229,fsrq,194.4884661,32.49147944,0.806,LSP,13.377,0.95,0.89,0,11.92,0.00000000057806876,2.4667,PowerLaw,2.47,652.5592,4.98e- 13,18.205,18.39
925,3FGL J1258.7+5137,NVSS J125825+514225,,bcu III,194.606,51.7071295,0,-,0,1,0,0,4.9,0.00000000022614893,2.1588,PowerLaw,2.16,50.6446,0,19.6798,18.58
926,3FGL J1258.7- 2219,PKS 1256-220,5BZQJ1258-2219,fsrq,194.7269949,-22.32531267,1.303,LSP,13.322,1,0.95,0,16.49,0.0000000015254287,2.339,PowerLaw,2.34,792.8557,0,18.9647,0
927,3FGL J1259.0- 2310,PKS B1256-229,5BZUJ1259-2310,bcu I,194.7852585,-23.17740404,0.481,LSP,13.623,1,0.93,0,8.19,0.00000000060916427,2.0286,PowerLaw,2.03,482.6384,0,16.4907,0
928,3FGL J1259.8- 3749,NVSS J125949- 374856,,bcu II,194.9575062,-37.81615667,0,ISP,14.626,1,0,0,9.28,0.00000000062891248,2.2417,PowerLaw,2.24,27.0472,0,17.3528,0
929,3FGL J1300.2+1416,OW 197,5BZQJ1300+1417,fsrq,195.0871617,14.28848099,1.106,LSP,13.003,0.99,0.87,0,11.92,0.00000000041552886,2.8551,PowerLaw,2.86,559.6301,6.95e- 13,18.5334,18.53
930,3FGL J1300.2+1416,NVSS J130041+141728,,bcu II,195.1709876,14.29150418,0,LSP,13.05,0.96,0,0,11.92,0.00000000041552886,2.8551,PowerLaw,2.86,100.9703,0,0,20.03
931,3FGL J1302.6+5748,TXS 1300+580,5BZUJ1302+5748,bcu I,195.7186053,57.81044701,1.088,LSP,12.28,1,0.89,0,6.26,0.00000000025505056,2.272,PowerLaw,2.27,321.0931,3.08e- 13,21.145,18.73
932,3FGL J1303.0+2435,MG2 J130304+2434,5BZBJ1303+2433,bll,195.7634046,24.5654805,0.993,LSP,13.13,1,0.87,0,28.55,0.0000000019113973,2.181,PowerLaw,2.18,122.6806,0,0,18.92
933,3FGL J1303.7- 4619,PMN J1303-4621,5BZQJ1303-4621,fsrq,195.9178355,-46.35067452,1.664,LSP,13.976,1,0,0,9.43,0.00000000067422123,2.3898,PowerLaw,2.39,74.8,0,0,0
934,3FGL J1304.2- 2411,PMN J1304-2412,,bcu II,196.069902,-24.2047318,0,ISP,14.49,1,0.85,0,9.35,0.00000000064722266,1.9573,PowerLaw,1.96,59.5557,0,18.9503,0
935,3FGL J1304.3- 4353,1RXS J130421.2- 435308,5BZBJ1304-4353,bll,196.087208,-43.88575,0,HSP,15.497,1,0.83,0.95,33.53,0.0000000031930316,1.9075,PowerLaw,1.91,43.8,6.31e- 12,16.7127,0
936,3FGL J1304.8- 0338,PKS 1302-035,5BZQJ1304-0346,fsrq,196.1818427,-3.767375497,1.25,LSP,12.882,0.97,0.88,0,4.42,0.0000000002920951,2.2805,PowerLaw,2.28,826.6665,0,18.8352,0
937,3FGL J1304.9- 2109,PKS B1302-208,,bcu II,196.2461222,-21.11179381,0,ISP,14.055,0.99,0.91,0,4.88,0.00000000036549444,2.1479,PowerLaw,2.15,604.3734,0,0,0
938,3FGL J1305.5+7854,S5 1304+79,5BZBJ1305+7854,bll,196.2500592,78.90994344,0,LSP,12.48,1,0.89,0,9.37,0.00000000038135448,2.377,PowerLaw,2.38,287.6952,0,19.5298,0
939,3FGL J1306.8- 2146,PKS 1304-215,,bcu I,196.669284,-21.8041505,0.126,LSP,12.462,0.98,0.87,0,4.31,0.00000000034157366,2.1466,PowerLaw,2.15,312.1449,0,20.6519,0
940,3FGL J1307.6- 4300,1RXS J130737.8- 425940,5BZBJ1307-4259,bcu II,196.9082655,-42.99416256,0,HSP,15.497,1,0.83,0.96,23.7,0.0000000019505042,1.8374,PowerLaw,1.84,36.2,6.76e- 12,15.8819,0
941,3FGL J1308.7+3545,5C 12.291,5BZQJ1308+3546,fsrq,197.0987881,35.77698998,1.055,LSP,12.758,1,0.82,0,10.91,0.00000000055332861,2.3566,PowerLaw,2.36,239.8165,3.67e- 13,0,19.29
942,3FGL J1309.3+4304,B3 1307+433,5BZBJ1309+4305,bll,197.3563592,43.08488262,0.691,HSP,15.128,1,0.89,0.87,29.05,0.0000000017442684,1.9358,PowerLaw,1.94,60.1409,7.12e- 13,17.2695,16.59
943,3FGL J1309.5+1154,4C +12.46,5BZBJ1309+1154,bll,197.3913852,11.90682029,0,LSP,13.32,1,0.94,0,9.13,0.00000000058437222,2.1432,PowerLaw,2.14,855.5696,0,18.1112,17.68
944,3FGL J1310.2- 1159,TXS 1307-117,5BZBJ1310-1157,bll,197.551785,-11.9630575,0.14,HSP,16.068,1,0.84,0.87,6.87,0.00000000033551123,1.7975,PowerLaw,1.8,83.3951,2.61e- 12,14.0894,0
945,3FGL J1310.6+2446,MG2 J131037+2447,,bcu III,197.660176,24.8052032,0,-,0,0.99,0,0,4.14,0.00000000022488168,2.2019,PowerLaw,2.2,116.4049,0,18.3868,16.86
946,3FGL J1310.6+3222,OP 313,5BZUJ1310+3220,fsrq,197.6194327,32.34549521,0.997,LSP,13.3,1,0.94,0,51.97,0.0000000036532102,2.1528,LogParabola,2.25,1687.166,8.53e- 13,19.0156,17.13
947,3FGL J1310.7+5515,TXS 1308+554,5BZQJ1311+5513,fsrq,197.7633783,55.23175623,0.925,LSP,13.364,0.99,0.88,0,6.11,0.00000000023894811,2.5272,PowerLaw,2.53,425.3318,0,20.1436,18.65
948,3FGL J1311.0+0036,RX J1311.1+0035,5BZBJ1311+0035,bll,197.7769834,0.586124217,0,HSP,15.755,1,0,0.83,4.71,0.00000000016436524,1.5452,PowerLaw,1.55,17.8491,1.65e- 12,17.4011,17.36
949,3FGL J1312.5- 2155,PKS 1309-216,5BZBJ1312-2156,bll,198.1314782,-21.9398303,1.6,HSP,15.455,1,0.94,0,20.82,0.0000000018015451,2.0748,PowerLaw,2.07,349.7491,0,17.435,0
950,3FGL J1312.7+4828,GB 1310+487,5BZUJ1312+4828,agn,198.1806402,48.47526126,0.638,LSP,13.136,1,0.95,0,66.04,0.0000000048591029,2.0411,LogParabola,2.13,221.0698,0,0,20.04
951,3FGL J1312.7- 2349,NVSS J131248- 235046,,bcu III,198.203158904,-23.8463757611,0,-,0,1,0,0,9.76,0.0000000005926783,1.8014,PowerLaw,1.8,28.928,0,18.3729,0
952,3FGL J1312.8- 0424,PKS B1310-041,5BZQJ1312-0424,fsrq,198.2120886,-4.413858886,0.825,LSP,13.336,1,0.88,0,16.46,0.00000000097162478,2.4872,PowerLaw,2.49,226.7262,6.37e- 13,0,0
953,3FGL J1314.7- 4237,MS 13121-4221,5BZGJ1315-4236,bcu II,198.7642,-42.6139,0,HSP,16.28,1,0,0,4.47,0.00000000035051145,2.0821,PowerLaw,2.08,13.9,0,15.7351,0
954,3FGL J1314.8+2349,TXS 1312+240,5BZBJ1314+2348,bll,198.6825255,23.8074396,0,ISP,14.93,1,0.88,0.85,21.89,0.0000000014177626,2.0479,PowerLaw,2.05,184.2576,1.77e- 12,17.3886,16.31
955,3FGL J1315.4+1130,1RXS J131531.9+113327,,bcu II,198.886583,11.5587679,0,HSP,16.525,0.98,0,0.8,4.32,0.00000000025594477,1.9621,PowerLaw,1.96,20.7252,2.94e- 12,19.0876,18.39
956,3FGL J1316.0- 3338,PKS 1313-333,5BZQJ1316-3338,fsrq,199.0332747,-33.64977019,1.21,LSP,13.464,1,0.96,0,25.3,0.000000002296322,2.3227,PowerLaw,2.32,1278.2679,0,17.6163,0
957,3FGL J1317.8+3429,S4 1315+34,5BZQJ1317+3425,fsrq,199.4020591,34.42109233,1.05,LSP,13.43,0.99,0.85,0,6.11,0.00000000025125466,2.5836,PowerLaw,2.58,529.4026,5.52e- 13,19.0788,18.37
958,3FGL J1318.7- 1232,PMN J1318-1235,,bcu II,199.6785556,-12.58440185,0,LSP,13.45,0.99,0,0,8.4,0.00000000054662286,2.3475,PowerLaw,2.35,44.1036,0,0,0
959,3FGL J1319.3+1402,RX J1319.4+1405,5BZBJ1319+1405,bll,199.8822606,14.09253359,0.573,HSP,15.497,0.99,0,0,4.3,0.00000000018791459,1.8654,PowerLaw,1.87,77.067,0,17.55,17.2
960,3FGL J1319.6+7759,NVSS J131921+775823,,bcu II,199.8386054,77.97283384,0,ISP,14.435,0.99,0,0,9.1,0.00000000033496683,1.7854,PowerLaw,1.79,25.8501,0,17.6026,0
962,3FGL J1321.7+8312,S5 1322+83,,fsrq,200.4400373,83.2703954,1.024,LSP,13.306,0.97,0.9,0,12.66,0.00000000050528942,2.5718,PowerLaw,2.57,565.5115,0,0,0
963,3FGL J1322.3+0839,NVSS J132210+084231,,bcu II,200.541874,8.70859731,0,LSP,13.16,0.98,0,0,7.76,0.00000000047254395,2.2526,PowerLaw,2.25,71.3381,0,19.3769,18.38
964,3FGL J1322.6- 1619,PMN J1322-1617,,bcu II,200.681684,-16.290151,0,LSP,13.67,0.99,0,0,5.32,0.00000000036434408,2.3564,PowerLaw,2.36,111.2548,0,18.7227,0
965,3FGL J1322.8- 0938,PKS B1319-093,5BZQJ1322-0937,fsrq,200.6538027,-9.627166603,1.864,LSP,12.987,0.99,0.88,0,14.39,0.00000000073653439,2.6294,PowerLaw,2.63,403.5829,0,19.2623,0
966,3FGL J1322.8- 0938,PMN J1323-0943,,bcu II,200.76275,-9.72556723,0,LSP,12.6,0,0.81,0,14.39,0.00000000073653439,2.6294,PowerLaw,2.63,320.6626,0,0,0
967,3FGL J1322.9+0435,RBS 1257,5BZGJ1323+0439,bll,200.754333,4.66348623,0.224,HSP,16.355,0.99,0,0.83,6.13,0.00000000027012892,1.7396,PowerLaw,1.74,37.0896,4.49e- 12,17.275,17.24
968,3FGL J1323.0+2942,4C +29.48,,bcu II,200.7536395,29.69578115,0,LSP,13.4,0,0.97,0,17.67,0.0000000011488748,2.1452,PowerLaw,2.15,1369.7178,3.61e- 13,0,19.7
969,3FGL J1323.9+1405,RX J1323.9+1406,5BZBJ1323+1405,bll,200.993688,14.1002957,0,ISP,14.655,1,0,0.81,6.31,0.00000000037922013,2.076,PowerLaw,2.08,31.3213,1.70e- 12,17.9941,18.11
970,3FGL J1325.4- 4301,Cen A Core,5BZUJ1325-4301,rdg,201.3650634,-43.01911243,0.0018,LSP,13.446,1,1,0.96,43.86,0.0000000034226764,2.703,PowerLaw,2.7,3.4200e+5,1.51e- 11,0,0
971,3FGL J1326.1+2931,TXS 1323+298,5BZBJ1326+2933,bll,201.56242,29.55856,0,ISP,14.475,1,0.83,0,4.81,0.00000000022929128,2.0695,PowerLaw,2.07,111.7528,0,19.0674,17.74
972,3FGL J1326.8+2211,B2 1324+22,5BZQJ1327+2210,fsrq,201.7535888,22.18060077,1.4,LSP,12.895,1,0.95,0,26.22,0.0000000016556837,2.3336,LogParabola,2.45,850.6374,5.69e- 13,18.5647,18.48
973,3FGL J1327.9+2524,NVSS J132758+252750,5BZBJ1327+2527,bll,201.994385,25.4639422,0,ISP,14.56,0.98,0,0,4.31,0.0000000001373073,1.6784,PowerLaw,1.68,10.2626,0,19.854,18.97
974,3FGL J1328.5- 4728,1WGA J1328.6-4727,,bcu II,202.1692654,-47.46373767,0,HSP,15.645,1,0.87,0,12.12,0.0000000008065183,1.6994,PowerLaw,1.7,123.6,0,17.4349,0
975,3FGL J1330.0+4437,1RXS J133021.4+444117,5BZBJ1330+4441,bll,202.590037,44.6892218,0,ISP,14.56,0.98,0,0,7.3,0.00000000032783326,2.0257,PowerLaw,2.03,21.2261,1.32e- 12,0,18
976,3FGL J1330.0- 3818,Tol 1326-379,,fsrq,202.3299246,-38.23850102,0.02843,LSP,13.972,0.9,0,0,5.44,0.00000000031292602,2.7807,PowerLaw,2.78,71.5688,9.08e- 13,11.517,0
977,3FGL J1330.5+3023,3C 286,,css,202.7845336,30.50915534,0,LSP,12.39,0.98,0.97,0,5.25,0.00000000024549443,2.6,PowerLaw,2.6,1.4903e+4,3.43e- 13,17.6507,17.07
978,3FGL J1330.6+7002,NVSS J133025+700141,5BZBJ1330+7001,bll,202.6075354,70.02740877,0,ISP,14.32,1,0,0.87,10.88,0.00000000038121492,1.8433,PowerLaw,1.84,21.1784,1.53e- 12,16.9708,0
979,3FGL J1330.9+5201,87GB 132842.6+521750,5BZUJ1330+5202,bcu I,202.677497,52.0376263,0.688,LSP,12.812,1,0.81,0,6.13,0.0000000002683351,2.2487,PowerLaw,2.25,83.9938,0,20.9,18.4
980,3FGL J1331.1- 1328,PMN J1331-1326,,bcu II,202.83465,-13.4350581,0,ISP,14.055,0.95,0,0,5.48,0.00000000050438109,2.3738,PowerLaw,2.37,51.2921,0,18.8618,0
981,3FGL J1331.5+1711,TXS 1329+174,5BZBJ1331+1712,bll,202.8893517,17.21405419,0,LSP,13.495,0.99,0.8,0,9.14,0.00000000035245593,2.7635,PowerLaw,2.76,180.6751,3.80e- 13,18.3977,18.98
982,3FGL J1331.8+4718,B3 1330+476,5BZQJ1332+4722,fsrq,203.1885268,47.37296321,0.668,LSP,13.997,0.83,0,0,8.63,0.00000000036401723,2.5287,PowerLaw,2.53,233.7047,4.53e- 13,18.7343,16.88
983,3FGL J1332.0- 0508,PKS 1329-049,5BZQJ1332-0509,fsrq,203.0186028,-5.162029356,2.15,LSP,13.098,1,0.95,0.84,49.71,0.0000000046788,2.4544,LogParabola,2.5,527.7424,5.82e- 13,18.2412,0
984,3FGL J1332.6- 1256,PMN J1332-1256,5BZQJ1332-1256,fsrq,203.1635476,-12.93759553,1.498,LSP,12.668,1,0.89,0,19.3,0.000000001909537,2.4171,PowerLaw,2.42,127.281,0,21.3384,0
985,3FGL J1332.8+2723,MG2 J133305+2725,5BZQJ1333+2725,fsrq,203.2812114,27.42177297,2.126,LSP,12.975,1,0.82,0,9.44,0.00000000045505302,2.3795,PowerLaw,2.38,218.2731,0,20.1528,19.47
986,3FGL J1333.7+5057,CLASS J1333+5057,5BZUJ1333+5057,fsrq,203.4740996,50.95997646,1.362,ISP,14.323,1,0.8,0,14.9,0.00000000069198097,2.4962,PowerLaw,2.5,54.525,0,0,18.95
987,3FGL J1335.4- 2949,1ES 1332-295,5BZBJ1335-2950,bll,203.873676,-29.8436227,0.513,ISP,14.86,1,0,0.92,6.86,0.00000000041041337,2.0468,PowerLaw,2.05,10.7588,7.24e- 12,0,0
988,3FGL J1337.6- 1257,PKS 1335-127,5BZQJ1337-1257,fsrq,204.4157616,-12.95685929,0.539,LSP,13.05,1,0.98,0.91,19.07,0.000000001558584,2.3663,LogParabola,2.44,2676.719,4.31e- 12,16.6152,0
989,3FGL J1338.6- 2403,PKS 1336-237,5BZUJ1339-2401,bcu I,204.7572765,-24.02055736,0.657,LSP,13.879,0.99,0.87,0,7.89,0.00000000045139731,2.5763,PowerLaw,2.58,502.4668,0,17.4853,0
990,3FGL J1338.9+6532,87GB 133543.8+654752,5BZQJ1337+6532,fsrq,204.3169153,65.54619903,0.946,LSP,13.574,0.93,0,0,7.27,0.00000000013469062,3.0199,PowerLaw,3.02,211.0996,0,19.8753,19.27
991,3FGL J1339.0+1153,SDSS J133859.05+115316.7,5BZBJ1338+1153,bll,204.7460512,11.88797231,0,ISP,14.32,1,0,0,11.52,0.00000000066324202,1.9654,PowerLaw,1.97,16.122,0,18.0032,17.39
992,3FGL J1339.8- 0133,PKS 1337-013,5BZQJ1340-0137,fsrq,205.0192295,-1.629595258,1.62,LSP,13.038,0.98,0,0,5,0.00000000031225056,2.4688,PowerLaw,2.47,176.1054,0,18.7678,18.44
993,3FGL J1340.6+4412,RX J1340.4+4410,5BZBJ1340+4410,bll,205.1241629,44.16775443,0.546,HSP,16.273,0.99,0,0.86,5.81,0.00000000025426899,1.9342,PowerLaw,1.93,57.2757,3.71e- 12,17.8462,18
994,3FGL J1340.6- 0408,NVSS J134042- 041006,,bcu II,205.1750614,-4.168656392,0,HSP,15.344,1,0,0,6.65,0.00000000042820528,1.9814,PowerLaw,1.98,27.1563,0,16.9617,0
995,3FGL J1341.0+3955,SDSS J134105.10+395945.4,5BZGJ1341+3959,bll,205.271279,39.99594903,0.172,ISP,14.629,0.98,0,0.86,5.5,0.00000000021316818,2.5412,PowerLaw,2.54,88.9234,7.72e- 12,14.9101,0
996,3FGL J1341.5+5517,SBS 1339+554,5BZBJ1341+5514,bll,205.40033,55.244278,0.207,HSP,15.482,0.99,0,0,6.05,0.00000000021908328,2.563,PowerLaw,2.56,38.0456,1.18e- 12,17.1329,17.14
997,3FGL J1341.9- 2053,PKS B1339-206,5BZQJ1342-2051,fsrq,205.5197481,-20.85820595,1.582,LSP,12.892,1,0.86,0,12.41,0.00000000068489309,2.6484,PowerLaw,2.65,399.5865,0,18.6375,0
999,3FGL J1343.6+5753,1RXS J134357.9+575426,5BZQJ1343+5754,fsrq,205.990084583,57.9117887889,0.933,ISP,14.124,0.99,0,0,4.5,0.00000000017823336,2.4078,PowerLaw,2.41,116.6497,2.33e- 13,18.5335,19.04
1000,3FGL J1344.2- 1724,PMN J1344-1723,5BZQJ1344-1723,fsrq,206.0600102,-17.39455447,2.49,LSP,13.408,1,0.94,0,33.15,0.0000000032277325,2.0443,LogParabola,2.18,340.3926,0,20.4868,0
1001,3FGL J1344.5- 3655,PKS 1341-366,,bcu II,206.099213,-36.9411089,0,ISP,14.44,0.99,0.93,0,5.67,0.0000000003851795,2.1819,PowerLaw,2.18,509.3596,0,17.716,0
1002,3FGL J1345.6+4453,B3 1343+451,5BZQJ1345+4452,fsrq,206.3882186,44.88321461,2.534,LSP,13.203,1,0.94,0,75.77,0.0000000065208456,2.1951,LogParabola,2.29,294.1142,0,20.7974,19.64
1003,3FGL J1345.8+0704,TXS 1343+073,5BZQJ1345+0706,fsrq,206.4554782,7.108644428,1.093,LSP,13.291,1,0.86,0,15.87,0.0000000010262834,2.3099,PowerLaw,2.31,137.6594,4.59e- 13,19.7382,19.72
1004,3FGL J1345.9- 3357,NVSS J134543- 335643,,bcu II,206.4294171,-33.94540615,0,ISP,14.2,1,0,0,6.51,0.00000000041330445,2.466,PowerLaw,2.47,40.3755,0,19.0629,0
1005,3FGL J1346.9- 2958,NVSS J134706- 295840,,bcu II,206.7786443,-29.97853932,0,ISP,14.72,1,0,0,8.25,0.00000000051378934,1.744,PowerLaw,1.74,27.478,0,17.877,0
1006,3FGL J1347.6- 3754,PMN J1347-3750,5BZQJ1347-3750,fsrq,206.918454,-37.84350551,1.3,LSP,13.367,0.99,0.84,0,13.1,0.00000000093059266,2.4929,PowerLaw,2.49,207.6375,9.43e- 13,20.3946,0
1007,3FGL J1349.6- 1133,PKS 1346-112,5BZQJ1349-1132,fsrq,207.3810135,-11.5482859,0.34,LSP,13.167,1,0.93,0.83,18.39,0.0000000013458442,2.3919,PowerLaw,2.39,522.8244,1.20e- 12,17.1664,0
1008,3FGL J1350.8+3035,B2 1348+30B,5BZQJ1350+3034,fsrq,207.7197343,30.58155292,0.712,LSP,13.634,1,0.91,0.82,20.22,0.0000000010383598,2.3712,PowerLaw,2.37,322.4777,1.14e- 12,18.8311,17.26
1009,3FGL J1351.1+0030,PKS 1348+007,5BZQJ1351+0031,fsrq,207.7684761,0.522085072,2.084,LSP,13.329,0.99,0.87,0,7.3,0.00000000046563448,2.3127,PowerLaw,2.31,317.0424,0,0,21.64
1010,3FGL J1351.4+1115,RX J1351.3+1115,5BZBJ1351+1114,bll,207.8368565,11.24805071,0,HSP,15.81,1,0.83,0.88,12.86,0.00000000066242023,1.7106,PowerLaw,1.71,42.888,1.88e- 12,17.4416,18.04
1011,3FGL J1351.7- 2913,PKS 1348-289,5BZUJ1351-2912,bcu I,207.9451615,-29.20490279,1.034,LSP,13.348,1,0.91,0,9.05,0.00000000064548572,2.3962,PowerLaw,2.4,396.4507,0,0,0
1012,3FGL J1353.1- 4414,PKS 1349-439,5BZBJ1352-4412,bll,208.2355622,-44.2112188,0,LSP,13.285,1,0.9,0,9.77,0.00000000058925992,2.5934,PowerLaw,2.59,413.8,0,18.1996,0
1013,3FGL J1353.2+1435,OP 186,5BZBJ1353+1435,bll,208.3451662,14.59423842,0,LSP,13.57,1,0.92,0,10.72,0.00000000059736882,2.3426,PowerLaw,2.34,446.7588,0,19.2155,18.09
1014,3FGL J1354.5+3705,FIRST J135426.6+370654,5BZBJ1354+3706,bll,208.6112218,37.11516001,0,ISP,14.56,1,0,0,7.81,0.00000000038319195,2.2628,PowerLaw,2.26,25.1398,0,17.5305,16.81
1015,3FGL J1355.0- 1044,PKS 1352-104,5BZQJ1354-1041,fsrq,208.6938278,-10.6840712,0.33,LSP,13.204,0.98,0.9,0.82,11.63,0.00000000082725837,2.3867,PowerLaw,2.39,768.7958,4.07e- 12,17.2714,0
1016,3FGL J1356.3- 4029,SUMSS J135625- 402820,,bcu II,209.1061968,-40.4727227,0,ISP,14.055,1,0,0,5.68,0.00000000038816084,2.0602,PowerLaw,2.06,76,0,19.7015,0
1017,3FGL J1357.5+0125,RX J1357.6+0128,5BZBJ1357+0128,bll,209.4112424,1.470454081,0,ISP,14.8,0.99,0,0.82,5.77,0.00000000041053988,2.1423,PowerLaw,2.14,61.3928,3.03e- 12,17.0196,17.27
